時間,地點,餐廳/美食
26/05/24,竹南家,滷間客棧
26/05/24,竹南,黃燜雞
26/05/24,竹南家,麥味登
26/05/23,竹南家,龍 鹹酥雞
26/05/23,嘉義,火雞肉飯，綠豆沙
26/05/21,竹南家,蚵仔煎
26/05/19,竹南家,蚵仔煎
26/05/17,竹南家,超愛吃湯包
26/05/17,新竹,巨城pepper lunch
26/05/16,竹南家,烤鴨
26/05/15,頭份,陶板屋（精靈生日）
26/05/10,竹南,三顧茅廬
26/05/02,高雄,Jessica cafe，槿韓食堂
26/05/01,高雄,漢神大戶屋
26/04/26,竹南家,名悅現烤蛋糕
26/04/26,竹南,炸糊雞肉飯
26/04/26,竹南,黃燜雞
26/04/26,竹南家,壯汗甜點
26/04/25,竹南,老先覺麻辣鍋
26/04/25,竹南家,泡麵（小狐狸）
26/04/25,竹南家,麥味登
26/04/19,竹南家,小狐狸煮麵（辣醬）
26/04/19,竹南家,甜煦豆花，綠豆沙
26/04/19,竹南家,豪！早呦！早餐
26/04/18,頭份,小籠包之家
26/04/18,頭份,六扇門建國路
26/04/18,竹南家,豪！早呦！早餐
26/04/14,竹南家,綠豆沙，豬腳調理包
26/04/12,頭份,起家雞，茶聚
26/04/12,頭份,爭鮮，五桐號
26/04/12,竹南家,Q Burger
26/04/11,竹南,NU Pasta
26/04/11,竹南家,豪！早呦！早餐
26/04/06,台南,文章牛肉湯
26/04/06,台南,濰克早午餐
26/04/05,台南,鹹酥雞（阿ray家）
26/04/05,台南,油飯，米果，鱔魚意麵
26/04/05,玉井,牛肉湯，芒果冰
26/04/05,高雄,飯店早餐
26/04/04,高雄,炭吉燒肉飯
26/04/04,高雄,阿鴻上菜
26/04/03,高雄,炸物
26/04/03,竹南家,煮關東麵
26/04/03,竹南家,豪！早呦！早餐
26/03/29,竹南家,達美樂
26/03/29,竹南家,拎著走，一蘭拉麵
26/03/29,竹南家,麥味登
26/03/28,竹南家,釜山崔炸雞，喜力
26/03/28,竹南家,Q burger
26/03/25,竹南家,臭豆腐
26/03/22,竹南家,龜記
26/03/21,桃園,woosa
26/03/21,中壢,晶麒莊園咖啡廳
26/03/21,火車上,麥味登
26/03/15,竹南家,蔥油餅
26/03/15,竹南家,肯德基
26/03/14,竹南,薑母鴨（+鄰居）
26/03/14,頭份,上好平價牛排
26/03/14,竹南,麥味登
26/03/10,竹南,九鍋
26/03/08,板橋,京都勝牛
26/03/08,古亭,魚目咖啡
26/03/08,板橋,飯店早餐
26/03/07,板橋,喜餅試吃，泡麵
26/03/07,三峽,精靈阿嬤家
26/03/06,竹南,三顧茅廬
26/03/01,竹南家,72度舒肥
26/03/01,竹南家,拉麵
26/03/01,竹南家,麥味登
26/02/28,台中,屋馬
26/02/27,竹南家,黃燜雞
26/02/26,竹南家,章魚燒
26/02/22,竹南,十九甲雞排，50嵐
26/02/22,龍潭,六扇門
26/02/22,大溪家,饅頭，橘子
26/02/21,大溪家,水餃
26/02/02,竹南家,超愛吃湯包
26/02/01,竹南,粥大福
26/02/01,頭份,品田牧場
26/02/01,竹南家,普羅麵包
26/01/31,竹南,粥大福
26/01/31,竹南,台南虱目魚粥，鱸魚湯
26/01/29,竹南,村禾牛肉麵
26/01/29,大慶,中山醫健檢便當
26/01/26,竹南,六扇門
26/01/26,頭份,704縣賽便當
26/01/26,竹南,麥味登
26/01/25,竹南家,臭豆腐
26/01/25,竹南,Qburger
26/01/24,竹南,繽紛泰
26/01/24,頭份,青焰牛排早餐
26/01/23,頭份,青焰牛排（求婚）
26/01/18,竹南,八方雲集
26/01/18,竹南家,好口味牛肉麵
26/01/18,竹南家,麥味登
26/01/17,竹南家,九鍋
26/01/16,竹南家,粥大福
26/01/09,竹南,三顧茅廬
26/01/08,竹南,三顧茅廬
26/01/04,竹南家,超愛吃湯包
26/01/04,竹南家,江記
26/01/03,竹南家,梁社漢排骨
26/01/03,竹南家,夏綠蒂紅豆紫米
26/01/03,竹南家,喜德早餐
26/01/01,竹南家,臭豆腐
26/01/01,竹南家,麥味登
25/12/31,竹南家,潮麻吉（跨年>///<）
25/12/28,竹南家,鐵了心暖心鍋室
25/12/27,竹南家,必勝客
25/12/26,頭份,21世紀烤鴨
25/12/25,竹南家,川牛木石堂亭（不好吃）
25/12/25,竹南,Nu Pasta
25/12/25,竹南,麥味登
25/12/21,高雄,台鐵排骨便當
25/12/21,高雄,大東弄咖啡（+瀅安朋友~明兌）
25/12/21,高雄,丹丹漢堡
25/12/20,高雄,瀅安外婆家
25/12/20,高雄,烤黑輪片，大碗冰
25/12/20,高雄,聞香來早餐店
25/12/19,竹南,彩虹海南雞飯
25/12/17,竹南家,麥當勞
25/12/07,竹南家,pizza hut
25/12/07,竹南家,烤鴨
25/12/07,竹南家,麵包，薯餅
25/12/06,竹南家,八丸肉圓
25/12/06,頭份,斗煥坪水餃，teatop
25/12/06,竹南家,濃湯，巧克力
25/11/30,頭份,瓦城（+瀅安媽媽）
25/11/30,竹南,Qburger（+瀅安媽媽）
25/11/29,公館,福樂麵館（+瀅安媽媽）
25/11/29,銅鑼,茶廠茶點（+瀅安媽媽）
25/11/29,竹南,7-11
25/11/27,竹南家,八方雲集
25/11/23,竹南家,臭豆腐
25/11/23,竹南家,九鍋
25/11/23,竹南家,麥味登
25/11/22,頭份,品田牧場
25/11/22,竹南家,安城湯麵
25/11/22,竹南家,全聯千層蛋糕
25/11/16,竹南家,韓式冷伴麵，辣炒年糕
25/11/16,新竹家,小木屋鬆餅，鮮茶道
25/11/16,新竹家,麥當勞
25/11/15,新竹家,大中華粥麵館
25/11/15,新竹家,大無敵烤肉飯
25/11/15,新竹家,麥味登
25/11/14,新竹,星巴克
25/11/14,竹北,柴堡
25/11/09,竹南家,一蘭拉麵
25/11/02,新竹家,八廚職人便當
25/11/02,新竹,壽司郎
25/11/02,新竹家,美十美早餐
25/11/01,新竹家,八廚職人便當
25/11/01,新竹,巨城paper lunch
25/10/28,竹南家,煎杏鮑菇，清原
25/10/26,竹南家,泡菜，滷肉，小黃瓜
25/10/26,竹南家,安城湯麵，泡菜
25/10/26,竹南家,麥味登
25/10/25,頭份,一喜鍋（和照南911畢業班）
25/10/25,竹南家,滷肉，泡菜，tea top
